,Item,Level,Category,Description,Manufacturer Part #,Manufacturer,Supplier,Qty,Unit Cost (USD),Total,Avg Lead Time (days),On-Time Delivery (%),Defect Rate (%),Cost Variance (%)
0,1,Component,Electrical,ATmega328P Microcontroller,ATMEGA328P-AU,Microchip,Digi-Key,2,2.1,4.2,16,92.9,2.34,-1.85
1,2,Component,Electrical,Red LED 0805,LTST-C170KRKT,Lite-On,Mouser,20,0.08,1.6,20,98.82,4.17,-0.3
2,3,Component,Electrical,10uF Capacitor 0805,CL21A106KAYNNNE,Samsung,Mouser,25,0.05,1.25,20,98.82,4.17,-0.3
3,4,Component,Electrical,330Ω Resistor 0805,CRCW0805330RFKEA,Vishay,Digi-Key,25,0.01,0.25,16,92.9,2.34,-1.85
4,5,Component,Electrical,5V Regulator LDO,LD1117S50TR,STMicroelectronics,Digi-Key,4,0.4,1.6,16,92.9,2.34,-1.85
5,6,Component,Electrical,USB Type-C Receptacle,USB4085-GF-A,GCT,Digi-Key,2,1.1,2.2,16,92.9,2.34,-1.85
6,7,Component,Electrical,16MHz Oscillator,ABM8G-16.000MHZ-B4Y-T,Abracon,Mouser,3,0.35,1.05,20,98.82,4.17,-0.3
7,8,Component,Electrical,N-Channel MOSFET,IRLZ44N,Infineon,Mouser,6,0.95,5.7,20,98.82,4.17,-0.3
8,9,Component,Electrical,Schottky Diode 1A,SS14,ON Semiconductor,Mouser,10,0.1,1,20,98.82,4.17,-0.3
9,10,Component,Electrical,Header 1x10,61301011121,Wurth,Digi-Key,3,0.15,0.45,16,92.9,2.34,-1.85
10,11,Component,Electrical,ESP32 Wi-Fi Module,ESP32-WROOM-32D,Espressif,Mouser,2,3.25,6.5,20,98.82,4.17,-0.3
11,12,Component,Electrical,Voltage Divider Resistors,ERA-3AEB102V,Panasonic,Digi-Key,20,0.03,0.6,16,92.9,2.34,-1.85
12,13,Component,Electrical,SMD Button,EVQ-P7A01P,Panasonic,Mouser,10,0.2,2,20,98.82,4.17,-0.3
13,14,Component,Electrical,Current Sensor,ACS712ELCTR-20A-T,Allegro Microsystems,Mouser,1,2.5,2.5,20,98.82,4.17,-0.3
14,15,Component,Electrical,"I2C OLED Display 0.96""",SSD1306,Adafruit,Adafruit,1,6.95,6.95,14,89.47,2.99,-0.5
